,swarm_size,max_iterations,fitness,k1,k3,k5,k7,k9
98,25.0,50.0,0.8730081348853301,0.3589850249584027,0.370216306156406,0.38851913477537436,0.3874792013311148,0.4047420965058236
99,25.0,50.0,0.8730081348853301,0.6524542429284526,0.6385191347753744,0.6474625623960066,0.6455906821963394,0.64891846921797
100,25.0,50.0,0.8730081348853301,0.716514143094842,0.71630615640599,0.7271214642262895,0.7258735440931781,0.7183860232945092
101,25.0,50.0,0.8730081348853301,0.5472129783693843,0.5187188019966722,0.5401414309484193,0.5403494176372712,0.5443011647254575
102,25.0,50.0,0.8730081348853301,0.6857321131447587,0.6861480865224625,0.6928036605657238,0.6988352745424293,0.6990432612312812
103,25.0,50.0,0.8730081348853301,0.6318635607321131,0.6185524126455907,0.6341514143094842,0.6314475873544093,0.6260399334442596
104,25.0,50.0,0.8730081348853301,0.7302412645590682,0.7231697171381032,0.7262895174708819,0.716514143094842,0.7152662229617305
105,25.0,50.0,0.8730081348853301,0.7306572379367721,0.7125623960066556,0.7146422628951747,0.7096505823627288,0.6955074875207987
106,25.0,50.0,0.8730081348853301,0.5563643926788685,0.555116472545757,0.5653078202995009,0.576955074875208,0.5754991680532446
107,25.0,50.0,0.8730081348853301,0.7481281198003328,0.7337770382695508,0.7219217970049917,0.7246256239600666,0.7148502495840267
108,25.0,50.0,0.8730081348853301,0.7660149750415973,0.7402246256239601,0.742720465890183,0.7344009983361065,0.7298252911813644
109,25.0,50.0,0.8730081348853301,0.6518302828618968,0.6578618968386023,0.6672212978369384,0.6728369384359401,0.6736688851913477
110,25.0,50.0,0.8730081348853301,0.6553660565723793,0.6443427620632279,0.6468386023294509,0.6482945091514143,0.6451747088186356
111,25.0,50.0,0.8730081348853301,0.480865224625624,0.49459234608985025,0.5147670549084858,0.5339018302828619,0.5401414309484193
112,25.0,50.0,0.8730081348853301,0.7599833610648918,0.7387687188019967,0.7389767054908486,0.7298252911813644,0.7200499168053245
113,25.0,50.0,0.8730081348853301,0.5532445923460898,0.5482529118136439,0.5590682196339434,0.5669717138103162,0.5680116472545758
114,25.0,50.0,0.8730081348853301,0.7262895174708819,0.7048668885191348,0.7023710482529119,0.6955074875207987,0.6934276206322796
115,25.0,50.0,0.8730081348853301,0.6064891846921797,0.6006655574043261,0.6050332778702163,0.6116888519134775,0.615432612312812
116,25.0,50.0,0.8730081348853301,0.5557404326123128,0.5636439267886856,0.572171381031614,0.5740432612312812,0.5836106489184693
117,25.0,50.0,0.8730081348853301,0.45653078202995007,0.478369384359401,0.4750415973377704,0.4746256239600666,0.49937603993344426
118,25.0,50.0,0.8730081348853301,0.5482529118136439,0.5266222961730449,0.5403494176372712,0.5519966722129783,0.5461730449251248
119,25.0,50.0,0.8730081348853301,0.5426372712146422,0.5567803660565723,0.5684276206322796,0.5754991680532446,0.5792429284525791
120,25.0,50.0,0.8730081348853301,0.6580698835274542,0.6443427620632279,0.6509983361064892,0.6493344425956739,0.651414309484193
121,25.0,50.0,0.8730081348853301,0.6711730449251248,0.673044925124792,0.6809484193011647,0.6921797004991681,0.6936356073211315
