,population,max_generations,combination_prob,mutation_prob,iteration,accuracy
63,25.0,50.0,0.7,0.05,1.0,0.3562811980033278
64,25.0,50.0,0.7,0.05,1.0,0.46131447587354407
65,25.0,50.0,0.7,0.05,1.0,0.52391846921797
66,25.0,50.0,0.7,0.05,1.0,0.42325291181364394
67,25.0,50.0,0.7,0.05,1.0,0.4448835274542429
68,25.0,50.0,0.7,0.05,1.0,0.5051996672212978
69,25.0,50.0,0.7,0.05,1.0,0.3579450915141431
70,25.0,50.0,0.7,0.05,1.0,0.3500415973377704
71,25.0,50.0,0.7,0.05,1.0,0.22628951747088186
72,25.0,50.0,0.7,0.05,1.0,0.3336106489184692
73,25.0,50.0,0.7,0.05,1.0,0.4925124792013311
74,25.0,50.0,0.7,0.05,1.0,0.34213810316139764
75,25.0,50.0,0.7,0.05,1.0,0.38061564059900166
76,25.0,50.0,0.7,0.05,1.0,0.3735440931780366
77,25.0,50.0,0.7,0.05,1.0,0.5478369384359401
78,25.0,50.0,0.7,0.05,1.0,0.42158901830282863
79,25.0,50.0,0.7,0.05,1.0,0.42034109816971715
80,25.0,50.0,0.7,0.05,1.0,0.4887687188019967
81,25.0,50.0,0.7,0.05,1.0,0.3985024958402662
82,25.0,50.0,0.7,0.05,1.0,0.324459234608985
83,25.0,50.0,0.7,0.05,1.0,0.4365640599001664
84,25.0,50.0,0.7,0.05,1.0,0.42678868552412647
85,25.0,50.0,0.7,0.05,1.0,0.4731697171381032
86,25.0,50.0,0.7,0.05,1.0,0.4860648918469218
87,25.0,50.0,0.7,0.05,1.0,0.38331946755407653
88,25.0,50.0,0.7,0.05,1.0,0.45133111480865223
89,25.0,50.0,0.7,0.05,1.0,0.6451747088186356
90,25.0,50.0,0.7,0.05,1.0,0.47254575707154745
91,25.0,50.0,0.7,0.05,1.0,0.5815307820299501
92,25.0,50.0,0.7,0.05,1.0,0.46401830282861894
93,25.0,50.0,0.7,0.05,1.0,0.5825707154742097
94,25.0,50.0,0.7,0.05,1.0,0.7011231281198004
95,25.0,50.0,0.7,0.05,1.0,0.5952579034941764
96,25.0,50.0,0.7,0.05,1.0,0.3745840266222962
97,25.0,50.0,0.7,0.05,1.0,0.5205906821963394
98,25.0,50.0,0.7,0.05,1.0,0.4213810316139767
99,25.0,50.0,0.7,0.05,1.0,0.5478369384359401
100,25.0,50.0,0.7,0.05,1.0,0.5189267886855241
101,25.0,50.0,0.7,0.05,1.0,0.5091514143094842
102,25.0,50.0,0.7,0.05,1.0,0.5347337770382695
103,25.0,50.0,0.7,0.05,1.0,0.42678868552412647
104,25.0,50.0,0.7,0.05,1.0,0.5538685524126455
105,25.0,50.0,0.7,0.05,1.0,0.47296173044925127
106,25.0,50.0,0.7,0.05,1.0,0.4925124792013311
107,25.0,50.0,0.7,0.05,1.0,0.47296173044925127
108,25.0,50.0,0.7,0.05,1.0,0.7246256239600666
