,fitness,n_attr
281,0.15075586297701657,12.0
54,0.15077954925821044,14.0
187,0.15093607084988678,13.0
211,0.1510897992794284,13.0
122,0.15127550489550165,16.0
282,0.15153805459910744,13.0
65,0.15190421119627848,13.0
60,0.15196391197675438,13.0
2,0.15232552807960115,10.0
40,0.15233993319013336,12.0
149,0.15237008036024113,13.0
15,0.15264639485362153,12.0
473,0.15271859888323977,12.0
365,0.15285352126091867,13.0
383,0.15292137995134825,14.0
89,0.1529459011445443,14.0
382,0.15297072474632675,12.0
364,0.1530336261011852,12.0
96,0.1533390951876802,11.0
197,0.15344010174719483,14.0
291,0.15345160047958423,10.0
230,0.1539474088765145,12.0
915,0.15442130302481036,12.0
907,0.15450988100885488,11.0
123,0.15455786230951005,9.0
171,0.15460699143302722,11.0
237,0.1549130003354435,15.0
906,0.15530661207679652,12.0
233,0.1553097901473558,13.0
835,0.15537261534819966,11.0
287,0.15537751704970787,10.0
167,0.15602736254515565,10.0
997,0.15637018156339863,12.0
34,0.15650220789736957,11.0
195,0.1570406103232719,12.0
146,0.15710060458467406,12.0
53,0.15785521112040343,12.0
24,0.15785854879484812,11.0
151,0.1580247799958346,12.0
132,0.15818894227586505,11.0
158,0.1584439726926619,11.0
39,0.15864945164264632,9.0
279,0.1590096067149771,10.0
143,0.15930750390842224,13.0
101,0.15933329799244825,12.0
477,0.1595705248595706,11.0
130,0.15958408756398357,9.0
452,0.15969573062642564,11.0
375,0.15987916468688337,11.0
294,0.15991234852679748,12.0
361,0.16004503808816098,11.0
37,0.16007865475560107,10.0
826,0.16013536737087128,14.0
147,0.16016003980188273,12.0
467,0.16048571598273406,12.0
222,0.16068989693550395,10.0
209,0.16089167643946067,12.0
998,0.16090072675135195,12.0
43,0.16119519640771124,13.0
9,0.16132104534167102,13.0
161,0.16167858482226086,11.0
838,0.1618711089002123,12.0
198,0.16189962918285247,13.0
299,0.16190106956399114,10.0
73,0.1619260915973405,11.0
229,0.16199620359042075,11.0
373,0.16211927540771381,10.0
138,0.1626520004220966,12.0
48,0.16274942564529585,11.0
163,0.1627520900390894,10.0
144,0.16296742120448854,10.0
238,0.16317184745872645,11.0
249,0.1634017299702996,12.0
58,0.16344480587026608,12.0
387,0.1636136713907324,10.0
468,0.1639839949891581,11.0
384,0.16403933941916632,10.0
811,0.16406645710650386,11.0
212,0.1640772021758748,9.0
813,0.16421861489551098,12.0
136,0.16429671353825417,11.0
810,0.16469957748916517,11.0
1019,0.16471614117413072,11.0
